Search Name,Address,Address Lat,Address Long,Nearest MRT Station,Nearest MRT Distance,Nearest Mall Name,Nearest Mall Distance,Nearest NPC,Nearest NPC Distance
233 ANG MO KIO AVE 3,233 ANG MO KIO AVENUE 3,1.36754924977907,103.836740628478,MAYFLOWER MRT STATION (TE6),0.43563473514991535,AMK HUB,1.320705684850749,Bishan Neighbourhood Police Centre,1.6311040990034629
235 ANG MO KIO AVE 3,235 ANG MO KIO AVENUE 3,1.36682360872342,103.83649123351,MAYFLOWER MRT STATION (TE6),0.5159685864175086,AMK HUB,1.362683140583791,Bishan Neighbourhood Police Centre,1.6001729376819671
219 ANG MO KIO AVE 1,219 ANG MO KIO AVENUE 1,1.36598198004505,103.840654039612,MAYFLOWER MRT STATION (TE6),0.7601364672477512,AMK HUB,0.9486725130194688,Bishan Neighbourhood Police Centre,1.2006785552122226
536 ANG MO KIO AVE 10,536 ANG MO KIO AVENUE 10,1.37447378519738,103.854100515826,ANG MO KIO MRT STATION (NS16),0.7140930138770897,AMK HUB,0.8427947610334469,Ang Mo Kio South Neighbourhood Police Centre,0.5757767349101564
230 ANG MO KIO AVE 3,230 ANG MO KIO AVENUE 3,1.36885445228086,103.837896397823,MAYFLOWER MRT STATION (TE6),0.3255140761199333,AMK HUB,1.1777845249854877,Ang Mo Kio South Neighbourhood Police Centre,1.5337842925212075
570 ANG MO KIO AVE 3,570 ANG MO KIO AVENUE 3,1.3697435855576,103.856023138277,ANG MO KIO MRT STATION (NS16),0.7189839508496876,AMK HUB,0.8396714263709564,Ang Mo Kio South Neighbourhood Police Centre,0.48609426539240097
624 ANG MO KIO AVE 4,624 ANG MO KIO AVENUE 4,1.38156171229824,103.84000226873,YIO CHU KANG MRT STATION (NS15),0.5501238956626665,AMK HUB,1.6491601135192944,Ang Mo Kio North Neighbourhood Police Centre,0.6837402750148871
441 ANG MO KIO AVE 10,441 ANG MO KIO AVENUE 10,1.36605027829032,103.854168309853,ANG MO KIO MRT STATION (NS16),0.6700954894775877,AMK HUB,0.7334674512503497,Ang Mo Kio South Neighbourhood Police Centre,0.5121988554809892
625 ANG MO KIO AVE 9,625 ANG MO KIO AVENUE 9,1.38219867741921,103.841211533475,YIO CHU KANG MRT STATION (NS15),0.4181836467619143,AMK HUB,1.6374495482948026,Ang Mo Kio North Neighbourhood Police Centre,0.5329843489771989
119 ANG MO KIO AVE 3,119 ANG MO KIO AVENUE 3,1.36956344301912,103.844698910817,ANG MO KIO MRT STATION (NS16),0.5417222490689846,AMK HUB,0.4205387416865441,Ang Mo Kio South Neighbourhood Police Centre,0.7740565194360168
255 ANG MO KIO AVE 4,255 ANG MO KIO AVENUE 4,1.37065487078854,103.834630215787,MAYFLOWER MRT STATION (TE6),0.2333860693050655,AMK HUB,1.5457813262182314,Ang Mo Kio South Neighbourhood Police Centre,1.8941774186647997
432 ANG MO KIO AVE 10,432 ANG MO KIO AVENUE 10,1.36830996981351,103.853600305664,ANG MO KIO MRT STATION (NS16),0.48422745349167073,AMK HUB,0.5819252826004335,Ang Mo Kio South Neighbourhood Police Centre,0.2801574326972002
211 ANG MO KIO AVE 3,211 ANG MO KIO AVENUE 3,1.369196965617,103.841666636086,MAYFLOWER MRT STATION (TE6),0.6202987941974487,AMK HUB,0.757471862689639,Ang Mo Kio South Neighbourhood Police Centre,1.1130020978541288
584 ANG MO KIO AVE 3,584 ANG MO KIO AVENUE 3,1.37071307985916,103.853497803014,ANG MO KIO MRT STATION (NS16),0.4464618034556213,AMK HUB,0.5771115419825033,Ang Mo Kio South Neighbourhood Police Centre,0.22362070921784652
118 ANG MO KIO AVE 4,118 ANG MO KIO AVENUE 4,1.37329593649654,103.835475719134,MAYFLOWER MRT STATION (TE6),0.23720938042193968,AMK HUB,1.5092412243362698,Ang Mo Kio North Neighbourhood Police Centre,1.6852248175542204
333 ANG MO KIO AVE 1,333 ANG MO KIO AVENUE 1,1.3613425564061,103.851698621454,ANG MO KIO MRT STATION (NS16),0.9843899234838364,AMK HUB,0.9637197706038908,Bishan Neighbourhood Police Centre,0.5927122987845399
256 ANG MO KIO AVE 4,256 ANG MO KIO AVENUE 4,1.37061517595951,103.83596769452,MAYFLOWER MRT STATION (TE6),0.11550411543075118,AMK HUB,1.397348309387178,Ang Mo Kio South Neighbourhood Police Centre,1.7454493585051367
330 ANG MO KIO AVE 1,330 ANG MO KIO AVENUE 1,1.36243186402478,103.851030689651,ANG MO KIO MRT STATION (NS16),0.8499851053975928,AMK HUB,0.8240267997751978,Bishan Neighbourhood Police Centre,0.6331688478754469
557 ANG MO KIO AVE 10,557 ANG MO KIO AVENUE 10,1.3716257020332,103.857736107527,ANG MO KIO MRT STATION (NS16),0.9283784559382473,AMK HUB,1.0587849335318247,Ang Mo Kio South Neighbourhood Police Centre,0.7025593148310858
302 ANG MO KIO AVE 3,302 ANG MO KIO AVENUE 3,1.36708983179046,103.845660199054,ANG MO KIO MRT STATION (NS16),0.5363668200418688,AMK HUB,0.4043359837020843,Ang Mo Kio South Neighbourhood Police Centre,0.7363491287152587
575 ANG MO KIO AVE 10,575 ANG MO KIO AVENUE 10,1.37138855070768,103.855953346739,ANG MO KIO MRT STATION (NS16),0.7291120486947562,AMK HUB,0.8602120406526285,Ang Mo Kio South Neighbourhood Police Centre,0.5054680175716787
509 ANG MO KIO AVE 8,509 ANG MO KIO AVENUE 8,1.37400086510074,103.850139806283,ANG MO KIO MRT STATION (NS16),0.45694208320860513,AMK HUB,0.5450525948222489,Ang Mo Kio South Neighbourhood Police Centre,0.4850087018586785
472 ANG MO KIO AVE 10,472 ANG MO KIO AVENUE 10,1.36314392666998,103.858118593427,ANG MO KIO MRT STATION (NS16),1.2146757505766725,MYVILLAGE AT SERANGOON GARDEN,0.8127976397409179,Ang Mo Kio South Neighbourhood Police Centre,1.0404514320870841
475 ANG MO KIO AVE 10,475 ANG MO KIO AVENUE 10,1.36266297827625,103.85651592319,ANG MO KIO MRT STATION (NS16),1.1187955985041231,MYVILLAGE AT SERANGOON GARDEN,0.998783595122352,Ang Mo Kio South Neighbourhood Police Centre,0.9703258263333175
629 ANG MO KIO AVE 4,629 ANG MO KIO AVENUE 4,1.380104749906,103.840408652998,YIO CHU KANG MRT STATION (NS15),0.536892565426781,AMK HUB,1.491419020232616,Ang Mo Kio North Neighbourhood Police Centre,0.7542320057954702
546 ANG MO KIO AVE 10,546 ANG MO KIO AVENUE 10,1.37365123866689,103.857022220393,ANG MO KIO MRT STATION (NS16),0.9270475867033995,AMK HUB,1.0614746087759575,Ang Mo Kio South Neighbourhood Police Centre,0.7274855304026647
131 ANG MO KIO AVE 3,131 ANG MO KIO AVENUE 3,1.37101536386003,103.841800323712,MAYFLOWER MRT STATION (TE6),0.5837955574116382,AMK HUB,0.7640140504639489,Ang Mo Kio South Neighbourhood Police Centre,1.1021875228761702
254 ANG MO KIO AVE 4,254 ANG MO KIO AVENUE 4,1.37020344042146,103.834687722549,MAYFLOWER MRT STATION (TE6),0.251593682268754,AMK HUB,1.5356402658728512,Ang Mo Kio South Neighbourhood Police Centre,1.8862554878858395
470 ANG MO KIO AVE 10,470 ANG MO KIO AVENUE 10,1.36408620030202,103.856692408941,ANG MO KIO MRT STATION (NS16),1.0254864565475597,MYVILLAGE AT SERANGOON GARDEN,0.9481572363091606,Ang Mo Kio South Neighbourhood Police Centre,0.8562216691537107
463 ANG MO KIO AVE 10,463 ANG MO KIO AVENUE 10,1.36694793518613,103.857487648675,ANG MO KIO MRT STATION (NS16),0.9418933613106406,MYVILLAGE AT SERANGOON GARDEN,0.8768483045323956,Ang Mo Kio South Neighbourhood Police Centre,0.7273855971474329
207 ANG MO KIO AVE 1,207 ANG MO KIO AVENUE 1,1.36582089504381,103.842847772078,ANG MO KIO MRT STATION (NS16),0.8749216723709035,AMK HUB,0.7410467726599977,Bishan Neighbourhood Police Centre,1.042272319634818
304 ANG MO KIO AVE 1,304 ANG MO KIO AVENUE 1,1.36628642816469,103.8449947612,ANG MO KIO MRT STATION (NS16),0.6494069881953997,AMK HUB,0.5186170383404787,Ang Mo Kio South Neighbourhood Police Centre,0.8427678683581565
646 ANG MO KIO AVE 6,646 ANG MO KIO AVENUE 6,1.37939517687868,103.843763599411,YIO CHU KANG MRT STATION (NS15),0.29362961007716076,AMK HUB,1.229857340286862,Ang Mo Kio North Neighbourhood Police Centre,0.6416151879899835
328 ANG MO KIO AVE 3,328 ANG MO KIO AVENUE 3,1.36661793708764,103.84786688518,ANG MO KIO MRT STATION (NS16),0.4137771497438497,AMK HUB,0.31555225453825425,Ang Mo Kio South Neighbourhood Police Centre,0.5578413094079834
588C ANG MO KIO ST 52,588C ANG MO KIO STREET 52,1.37183157010083,103.853670978083,ANG MO KIO MRT STATION (NS16),0.5035957301556011,AMK HUB,0.637963188640798,Ang Mo Kio South Neighbourhood Police Centre,0.30975863031596906
588D ANG MO KIO ST 52,588D ANG MO KIO STREET 52,1.37175400663025,103.8538833087,ANG MO KIO MRT STATION (NS16),0.5217100168622305,AMK HUB,0.6558926435253325,Ang Mo Kio South Neighbourhood Police Centre,0.3216880813292045
101 ANG MO KIO AVE 3,101 ANG MO KIO AVENUE 3,1.37026158388486,103.839467898898,MAYFLOWER MRT STATION (TE6),0.3489790813364565,AMK HUB,1.0062750906190687,Ang Mo Kio South Neighbourhood Police Centre,1.355157100959305
430 ANG MO KIO AVE 3,430 ANG MO KIO AVENUE 3,1.36899287777802,103.85276134968,ANG MO KIO MRT STATION (NS16),0.3711075572277427,AMK HUB,0.47819049064093444,Ang Mo Kio South Neighbourhood Police Centre,0.15989373592386025
520 ANG MO KIO AVE 5,520 ANG MO KIO AVENUE 5,1.3734054063175,103.851134219635,ANG MO KIO MRT STATION (NS16),0.4240223550709145,AMK HUB,0.5353710069355742,Ang Mo Kio South Neighbourhood Police Centre,0.39293499887896854
716 ANG MO KIO AVE 6,716 ANG MO KIO AVENUE 6,1.37147783065153,103.845868750998,ANG MO KIO MRT STATION (NS16),0.4446471198955454,AMK HUB,0.3715708821263363,Ang Mo Kio South Neighbourhood Police Centre,0.6662656164861517
588A ANG MO KIO ST 52,588A ANG MO KIO STREET 52,1.37207688864036,103.852786139342,ANG MO KIO MRT STATION (NS16),0.4308178236239359,AMK HUB,0.5645082410733874,Ang Mo Kio South Neighbourhood Police Centre,0.2718599361758465
310A ANG MO KIO AVE 1,310A ANG MO KIO AVENUE 1,1.36481255187585,103.843844243986,ANG MO KIO MRT STATION (NS16),0.8529969091689569,AMK HUB,0.7240935716326864,Bishan Neighbourhood Police Centre,0.8897156476867907
613 ANG MO KIO AVE 4,613 ANG MO KIO AVENUE 4,1.37845661566039,103.839292714848,YIO CHU KANG MRT STATION (NS15),0.7278017254497572,AMK HUB,1.4349675890847777,Ang Mo Kio North Neighbourhood Police Centre,0.9731385428612693
101 BEDOK NTH AVE 4,101 BEDOK NORTH AVENUE 4,1.334484667124,103.937924710969,BEDOK RESERVOIR MRT STATION (DT30),0.675159553038471,DJITSUN MALL BEDOK,1.315656185783619,Bedok Neighbourhood Police Centre,0.2194842625134768
548 BEDOK NTH AVE 1,548 BEDOK NORTH AVENUE 1,1.33131021834565,103.92685391703,BEDOK RESERVOIR MRT STATION (DT30),0.8395117895350372,DJITSUN MALL BEDOK,0.6505686884002828,Bedok Neighbourhood Police Centre,1.1453504320814134
75 BEDOK NTH RD,75 BEDOK NORTH ROAD,1.32791477933184,103.942144427101,TANAH MERAH MRT STATION (EW4),0.4743070430831493,DJITSUN MALL BEDOK,1.4137249601046948,Bedok Neighbourhood Police Centre,0.7768549475187412
550 BEDOK NTH AVE 1,550 BEDOK NORTH AVENUE 1,1.3326931795279,103.926617402908,BEDOK RESERVOIR MRT STATION (DT30),0.7611831945363244,DJITSUN MALL BEDOK,0.8005463780153055,Bedok Neighbourhood Police Centre,1.1610272855286645
1 BEDOK STH AVE 1,1 BEDOK SOUTH AVENUE 1,1.32085208689731,103.933721091441,BEDOK MRT STATION (EW5),0.5417650021364517,BEDOK MALL,0.657946336897664,Bedok Neighbourhood Police Centre,1.3697722786548874
151 BEDOK RESERVOIR RD,151 BEDOK RESERVOIR ROAD,1.33557619454702,103.911545779692,KAKI BUKIT MRT STATION (DT28),0.3497192108460903,DJITSUN MALL BEDOK,2.2612939390690223,Bedok Neighbourhood Police Centre,2.8543175260798708
54 CHAI CHEE ST,54 CHAI CHEE STREET,1.32947840879761,103.921105111921,BEDOK NORTH MRT STATION (DT29),0.6807291996050713,DJITSUN MALL BEDOK,1.0108033892372617,Bedok Neighbourhood Police Centre,1.8098191991413253
50 CHAI CHEE ST,50 CHAI CHEE STREET,1.32930431416537,103.922415807329,BEDOK NORTH MRT STATION (DT29),0.7803507499511747,DJITSUN MALL BEDOK,0.8689969174524363,Bedok Neighbourhood Police Centre,1.6715446999257946
105 BEDOK RESERVOIR RD,105 BEDOK RESERVOIR ROAD,1.32914437941094,103.909112780576,KAKI BUKIT MRT STATION (DT28),0.6515487179425846,SINGAPORE POST CENTRE,1.9419888324674497,Marine Parade Neighbourhood Police Centre,2.6116844413281526
528 BEDOK NTH ST 3,528 BEDOK NORTH STREET 3,1.33490287587397,103.927838167286,BEDOK RESERVOIR MRT STATION (DT30),0.5242136390771677,DJITSUN MALL BEDOK,0.9951078795406592,Bedok Neighbourhood Police Centre,1.0539297304439714
534 BEDOK NTH ST 3,534 BEDOK NORTH STREET 3,1.33303698213001,103.924812248346,BEDOK NORTH MRT STATION (DT29),0.7829951380868424,DJITSUN MALL BEDOK,0.9324856291124785,Bedok Neighbourhood Police Centre,1.362182883049548
77 BEDOK NTH RD,77 BEDOK NORTH ROAD,1.32869611162886,103.941995599533,TANAH MERAH MRT STATION (EW4),0.5121615094084585,DJITSUN MALL BEDOK,1.4123784195643125,Bedok Neighbourhood Police Centre,0.7070999898428038
116 BEDOK RESERVOIR RD,116 BEDOK RESERVOIR ROAD,1.33103784588692,103.908641634756,KAKI BUKIT MRT STATION (DT28),0.43741232991949613,SINGAPORE POST CENTRE,2.031741924875777,Marine Parade Neighbourhood Police Centre,2.8286319797637525
18 BEDOK STH RD,18 BEDOK SOUTH ROAD,1.32062504871279,103.934734222428,BEDOK MRT STATION (EW5),0.6464957550826494,BEDOK MALL,0.7614606479107106,Bedok Neighbourhood Police Centre,1.3684018344223494
40 CHAI CHEE AVE,40 CHAI CHEE AVENUE,1.32604335303082,103.926488452026,BEDOK MRT STATION (EW5),0.4513114704304346,BEDOK MALL,0.34028197764414625,Bedok Neighbourhood Police Centre,1.3895691436926798
57 NEW UPP CHANGI RD,57 NEW UPPER CHANGI ROAD,1.32424554153984,103.941568704132,TANAH MERAH MRT STATION (EW4),0.6239725854092995,DJITSUN MALL BEDOK,1.3517247229094305,Bedok Neighbourhood Police Centre,1.0662002295065574
105 BEDOK NTH AVE 4,105 BEDOK NORTH AVENUE 4,1.33372280929,103.936517719048,BEDOK RESERVOIR MRT STATION (DT30),0.5741187618969176,DJITSUN MALL BEDOK,1.1462675210560715,Bedok Neighbourhood Police Centre,0.12787885712132124
709 BEDOK RESERVOIR RD,709 BEDOK RESERVOIR ROAD,1.33541606639526,103.922350069667,BEDOK NORTH MRT STATION (DT29),0.49172800977144665,DJITSUN MALL BEDOK,1.3076566668758265,Bedok Neighbourhood Police Centre,1.6628663252394833
42 CHAI CHEE ST,42 CHAI CHEE STREET,1.32797877350561,103.925804792632,BEDOK MRT STATION (EW5),0.6431171967053835,DJITSUN MALL BEDOK,0.4652803219469397,Bedok Neighbourhood Police Centre,1.3574257887519003
55 CHAI CHEE DR,55 CHAI CHEE DRIVE,1.32684846948333,103.919015573079,BEDOK NORTH MRT STATION (DT29),0.8852760011751062,BEDOK MALL,1.1623831623518732,Bedok Neighbourhood Police Centre,2.1092896428277377
2 BEDOK STH AVE 1,2 BEDOK SOUTH AVENUE 1,1.32130118793544,103.933299574181,BEDOK MRT STATION (EW5),0.4738497378875524,BEDOK MALL,0.5898567530347932,Bedok Neighbourhood Police Centre,1.335695671655808
37 CHAI CHEE AVE,37 CHAI CHEE AVENUE,1.32544200357037,103.926207634232,BEDOK MRT STATION (EW5),0.4502316237130789,BEDOK MALL,0.34786697413348594,Bedok Neighbourhood Police Centre,1.4521913010595813
425 BEDOK NTH RD,425 BEDOK NORTH ROAD,1.32936960154503,103.929067536324,BEDOK MRT STATION (EW5),0.6079077534668245,DJITSUN MALL BEDOK,0.36540472000689994,Bedok Neighbourhood Police Centre,0.963134350766927
117 BEDOK NTH RD,117 BEDOK NORTH ROAD,1.33065454769523,103.938496275607,TANAH MERAH MRT STATION (EW4),0.9542567295422182,DJITSUN MALL BEDOK,1.1146011950178725,Bedok Neighbourhood Police Centre,0.27864797197746194
423 BEDOK NTH AVE 1,423 BEDOK NORTH AVENUE 1,1.32797614118511,103.927565110763,BEDOK MRT STATION (EW5),0.5194093714512774,DJITSUN MALL BEDOK,0.3025219769916495,Bedok Neighbourhood Police Centre,1.1796008928569655
533 BEDOK NTH ST 3,533 BEDOK NORTH STREET 3,1.33358016248275,103.92421866691,BEDOK NORTH MRT STATION (DT29),0.7056362550614648,DJITSUN MALL BEDOK,1.0198122035974742,Bedok Neighbourhood Police Centre,1.4309605801891077
149 BEDOK RESERVOIR RD,149 BEDOK RESERVOIR ROAD,1.33576929801793,103.912779600202,KAKI BUKIT MRT STATION (DT28),0.48846967558329507,DJITSUN MALL BEDOK,2.1514452214737063,Bedok Neighbourhood Police Centre,2.7206628485193978
35 BEDOK STH AVE 2,35 BEDOK SOUTH AVENUE 2,1.32233220742919,103.939766219283,TANAH MERAH MRT STATION (EW4),0.9093312146655494,BEDOK MALL,1.1985370749235935,Bedok Neighbourhood Police Centre,1.1924215675589847
42 BEDOK STH RD,42 BEDOK SOUTH ROAD,1.32147847826862,103.940721046918,TANAH MERAH MRT STATION (EW4),0.8912477482845873,BEDOK MALL,1.3249716243899208,Bedok Neighbourhood Police Centre,1.3134130549481673
34 BEDOK STH AVE 2,34 BEDOK SOUTH AVENUE 2,1.32205652925918,103.93835472666,BEDOK MRT STATION (EW5),0.9547446281784704,BEDOK MALL,1.054415902852903,Bedok Neighbourhood Police Centre,1.1932388378815495
7 BEDOK STH AVE 2,7 BEDOK SOUTH AVENUE 2,1.32281544267372,103.93545524391,BEDOK MRT STATION (EW5),0.6217908317609877,BEDOK MALL,0.7214555395575432,Bedok Neighbourhood Police Centre,1.11455793348754
8 BEDOK STH AVE 2,8 BEDOK SOUTH AVENUE 2,1.32284176978435,103.936046815062,BEDOK MRT STATION (EW5),0.6857015619435873,BEDOK MALL,0.7837193068260854,Bedok Neighbourhood Police Centre,1.1030164648296088
80 BEDOK NTH RD,80 BEDOK NORTH ROAD,1.32848132017235,103.940611608837,TANAH MERAH MRT STATION (EW4),0.6537846834187202,DJITSUN MALL BEDOK,1.256904821287936,Bedok Neighbourhood Police Centre,0.6138202060288199
78 BEDOK NTH RD,78 BEDOK NORTH ROAD,1.32726007220341,103.940848770214,TANAH MERAH MRT STATION (EW4),0.6114436131080595,DJITSUN MALL BEDOK,1.261918214740889,Bedok Neighbourhood Police Centre,0.7378397793687403
135 BEDOK RESERVOIR RD,135 BEDOK RESERVOIR ROAD,1.33314106418951,103.912523538101,KAKI BUKIT MRT STATION (DT28),0.4953379078174262,DJITSUN MALL BEDOK,2.0479129320607536,Bedok Neighbourhood Police Centre,2.728192443033688
148 BEDOK RESERVOIR RD,148 BEDOK RESERVOIR ROAD,1.33534088461813,103.91190498709,KAKI BUKIT MRT STATION (DT28),0.3852804896279422,DJITSUN MALL BEDOK,2.2137802677740686,Bedok Neighbourhood Police Centre,2.811796554348037
81 BEDOK NTH RD,81 BEDOK NORTH ROAD,1.32891558225172,103.940528728774,TANAH MERAH MRT STATION (EW4),0.6749065979344774,DJITSUN MALL BEDOK,1.2589429195549424,Bedok Neighbourhood Police Centre,0.5714153986352314
142 BEDOK RESERVOIR RD,142 BEDOK RESERVOIR ROAD,1.33563649761465,103.913269358016,BEDOK NORTH MRT STATION (DT29),0.5328355910184304,DJITSUN MALL BEDOK,2.0969400330488592,Bedok Neighbourhood Police Centre,2.6648112660896635
124 BEDOK NTH RD,124 BEDOK NORTH ROAD,1.32925881944574,103.939046430321,TANAH MERAH MRT STATION (EW4),0.8437961463244465,DJITSUN MALL BEDOK,1.1114086528459057,Bedok Neighbourhood Police Centre,0.44260832814229945
705 BEDOK NTH RD,705 BEDOK NORTH ROAD,1.33663681806047,103.918995255673,BEDOK NORTH MRT STATION (DT29),0.23909449896555748,DJITSUN MALL BEDOK,1.6569450191484334,Bedok Neighbourhood Police Centre,2.055272527202834
554 BEDOK NTH ST 3,554 BEDOK NORTH STREET 3,1.33262715051315,103.928172121608,BEDOK RESERVOIR MRT STATION (DT30),0.632354741867085,DJITSUN MALL BEDOK,0.7397340061890061,Bedok Neighbourhood Police Centre,0.9882379143025147
602 BEDOK RESERVOIR RD,602 BEDOK RESERVOIR ROAD,1.32934898685946,103.911583237057,KAKI BUKIT MRT STATION (DT28),0.7147654816380732,DJITSUN MALL BEDOK,2.029793092073018,Marine Parade Neighbourhood Police Centre,2.5850000618668294
508 BEDOK NTH AVE 3,508 BEDOK NORTH AVENUE 3,1.33340012199511,103.932519441614,BEDOK RESERVOIR MRT STATION (DT30),0.3580838264068009,DJITSUN MALL BEDOK,0.8740716360993487,Bedok Neighbourhood Police Centre,0.510733533259714
720 BEDOK RESERVOIR RD,720 BEDOK RESERVOIR ROAD,1.33597277354753,103.924883020541,BEDOK NORTH MRT STATION (DT29),0.7796621285076887,DJITSUN MALL BEDOK,1.212454272108951,Bedok Neighbourhood Police Centre,1.401614736758448
765 BEDOK RESERVOIR VIEW,765 BEDOK RESERVOIR VIEW,1.33596106828604,103.935990113555,BEDOK RESERVOIR MRT STATION (DT30),0.42362754284331705,DJITSUN MALL BEDOK,1.3074163369792782,Bedok Neighbourhood Police Centre,0.38068173569929914
10 CHAI CHEE RD,10 CHAI CHEE ROAD,1.32727572366021,103.924803599281,BEDOK MRT STATION (EW5),0.6826446881185586,DJITSUN MALL BEDOK,0.5435529093885566,Bedok Neighbourhood Police Centre,1.4906024878015272
185 BEDOK NTH RD,185 BEDOK NORTH ROAD,1.32623725322603,103.940827550178,TANAH MERAH MRT STATION (EW4),0.6227741761015719,DJITSUN MALL BEDOK,1.253240645416817,Bedok Neighbourhood Police Centre,0.8325815046895029
111 LENGKONG TIGA,111 LENGKONG TIGA,1.32405877835385,103.911303762731,KEMBANGAN MRT STATION (EW6),0.38239055606620437,WISMA GEYLANG SERAI,1.8196859036201334,Marine Parade Neighbourhood Police Centre,2.008150782184896
220B BEDOK CTRL,220B BEDOK CENTRAL,1.32547710525716,103.934348226987,BEDOK MRT STATION (EW5),0.5128661125126758,DJITSUN MALL BEDOK,0.5376657794879638,Bedok Neighbourhood Police Centre,0.8589018799878787
603 BEDOK RESERVOIR RD,603 BEDOK RESERVOIR ROAD,1.33000183975836,103.912464022386,KAKI BUKIT MRT STATION (DT28),0.7092574306151745,DJITSUN MALL BEDOK,1.9482900537539016,Marine Parade Neighbourhood Police Centre,2.64677528814239
21 CHAI CHEE RD,21 CHAI CHEE ROAD,1.32577850604228,103.922424710131,BEDOK MRT STATION (EW5),0.8638543617610693,BEDOK MALL,0.7682224008386869,Bedok Neighbourhood Police Centre,1.8003984571644873
672 JLN DAMAI,672 JALAN DAMAI,1.33207912967501,103.908757101121,KAKI BUKIT MRT STATION (DT28),0.3228583095907501,SINGAPORE POST CENTRE,2.1191581160147033,Marine Parade Neighbourhood Police Centre,2.9385796415357572
415 BEDOK NTH AVE 2,415 BEDOK NORTH AVENUE 2,1.32964999532963,103.930260606366,BEDOK MRT STATION (EW5),0.6312257924623982,DJITSUN MALL BEDOK,0.40032216909511403,Bedok Neighbourhood Police Centre,0.8290423609896467
763 BEDOK RESERVOIR VIEW,763 BEDOK RESERVOIR VIEW,1.33607209475067,103.934830606324,BEDOK RESERVOIR MRT STATION (DT30),0.29466643425900346,DJITSUN MALL BEDOK,1.2524753713125203,Bedok Neighbourhood Police Centre,0.44868495276780773
805 CHAI CHEE RD,805 CHAI CHEE ROAD,1.32430604941035,103.921625366639,BEDOK MRT STATION (EW5),0.9299528979653009,BEDOK MALL,0.8496392968685985,Bedok Neighbourhood Police Centre,1.9538869895939575
723 BEDOK RESERVOIR RD,723 BEDOK RESERVOIR ROAD,1.33695439373089,103.928960561768,BEDOK RESERVOIR MRT STATION (DT30),0.3659948893796021,DJITSUN MALL BEDOK,1.206572129136737,Bedok Neighbourhood Police Centre,1.0167549414692032
722 BEDOK RESERVOIR RD,722 BEDOK RESERVOIR ROAD,1.33663699329345,103.928207774481,BEDOK RESERVOIR MRT STATION (DT30),0.44765570061573356,DJITSUN MALL BEDOK,1.179014364533029,Bedok Neighbourhood Police Centre,1.0767742961512115
219C BEDOK CTRL,219C BEDOK CENTRAL,1.32485598421255,103.933519574319,BEDOK MRT STATION (EW5),0.4048709409492676,DJITSUN MALL BEDOK,0.46263599425774227,Bedok Neighbourhood Police Centre,0.9579265847714238
