Data Series,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan 
      Ice & Ice Cream,102.72,103.135,100.793,101.11,99.647,97.121,100.301,99.237,101.141,98.74,98.136,99.838,103.118,100.82,99.415,100.215,101.973,103.241,102.126,102.396,101.433,97.715,98.352,100.265,101.336,102.451,102.75,106.899,106.501,106.768,101.521,100.272,100.109,98.25,97.794,98.334,98.367,99.768,99.857,99.324,98.344,98.51,99.22,98.138,98.632,98.089,98.141,100.605,103.276,101.469,102.339,102.24,102.134,103.095,104.033,103.255,103.398,103.469,97.509,88.885,96.48,91.475,93.2,91.64,92.2,91.126,90.138,94.754,91.347,88.841,88.624,89.833,93.242,90.789,93.808,90.6,90.756,91.685,90.268,89.534,90.927,89.699,91.891,91.544,92.036,90.744,88.28,92.591,89.474,89.585,88.853,88.857,89.936,89.262,87.863,86.847,89.883,88.114
      Sugar Confectionery & Desserts Nec,99.083,102.74,102.751,103.388,102.663,102.653,102.246,95.91,98.794,99.535,98.005,97.667,99.393,96.996,95.66,97.393,96.875,97.143,99.042,101.511,102.07,101.202,95.499,92.7,95.425,94.131,93.668,94.907,93.549,92.619,89.448,89.427,88.047,86.92,87.38,87.356,87.522,86.821,85.058,84.918,86.467,86.586,86.734,86.975,87.312,85.656,85.853,86.688,86.286,84.823,86.185,85.35,87.082,87.262,85.919,87.002,83.125,83.885,84.762,84.198,86.088,84.329,81.471,82.664,82.156,80.949,83.606,82.916,83.532,85.543,85.751,85.263,83.511,83.57,83.039,85.117,82.87,84.298,84.333,84.623,83.943,84.428,85.087,85.015,82.973,83.504,84.03,84.308,82.149,83.853,83.545,83.881,82.93,84.624,84.843,84.304,83.224,82.82
    Ready-Made Food & Other Food Products Nec,100.417,99.949,100.208,100.967,100.721,100.775,99.729,99.871,100.554,100.178,99.52,99.892,99.167,98.417,98.552,98.959,98.802,96.677,96.419,96.933,96.692,97.08,95.183,94.292,93.68,94.719,94.175,94.593,93.017,92.481,91.821,91.607,91.099,90.291,89.977,89.611,88.908,88.357,88.877,89.127,89.244,88.921,88.392,87.804,88.333,88.008,88.124,87.978,87.775,86.909,87.75,88.027,87.944,87.499,87.485,87.759,87.94,87.516,87.731,87.397,86.563,85.622,86.01,86.391,86.797,86.533,85.677,86.058,86.503,86.658,87.361,87.347,85.802,85.867,86.335,86.836,86.595,86.348,86.098,86.068,86.263,86.015,85.689,86.045,84.328,84.145,85.01,85.366,85.489,85.07,84.396,84.85,83.883,84.229,84.608,84.763,83.566,83.33
      Ready-Made Food,100.694,101.121,101.072,101.571,101.144,101.059,100.54,99.714,99.72,99.294,99.421,99.409,99.544,97.512,97.414,97.832,97.959,97.053,96.998,97.094,96.793,97.104,95.632,93.848,93.448,96.141,94.54,94.386,92.965,92.383,91.212,90.029,89.198,87.231,86.298,85.564,85.974,86.279,86.054,85.696,85.739,85.195,84.927,84.401,84.71,85.03,84.19,85.021,85.106,84.036,84.954,85.273,83.29,83.381,83.888,83.592,82.327,80.903,82.125,80.891,81.677,81.957,80.317,80.523,80.964,80.817,80.668,80.852,80.385,81.169,81.212,80.919,80.923,80.66,80.72,79.899,79.054,79.956,80.723,79.51,80.453,80.703,79.137,79.211,79.666,78.493,78.672,79.773,79.723,80.452,78.84,78.153,77.025,77.684,78.169,77.929,77.65,78.01
      Baby Food,103.681,101.312,102.642,101.873,100.84,101.101,100.848,101.55,100.605,101.792,101.367,101.541,93.984,91.857,97.153,99.884,93.872,95.445,95.384,94.146,94.141,94.506,98.202,93.976,89.286,92.678,92.77,92.892,92.776,93.692,91.969,92.554,92.809,93.26,92.94,92.647,92.536,93.289,93.439,93.007,93.473,90.316,90.506,90.051,90.427,89.224,89.955,88.648,88.166,89.584,88.549,89.31,90.082,90.197,88.708,89.047,90.297,90.255,90.58,90.485,88.241,88.055,89.766,88.599,90.455,90.156,90.55,90.584,89.56,89.549,90.647,88.698,89.872,90.699,89.456,89.809,89.808,89.899,90.713,90.97,89.948,91.121,89.883,90.019,91.75,91.351,89.043,89.522,90.444,90.689,90.811,89.368,88.715,89.008,87.49,88.929,89.217,89.37
"      Salt, Condiments & Sauces",102.04,100.183,100.862,101.95,102.244,100.922,98.17,97.846,100.958,100.967,99.601,99.939,98.31,98.231,97.81,98.501,98.467,94.591,94.456,94.913,94.543,95.341,92.943,91.373,91.183,91.54,92.834,93.05,90.064,89.253,88.681,89.145,88.557,88.107,88.023,87.723,85.867,84.564,85.644,86.555,87.018,86.832,85.742,84.792,86.065,85.232,85.716,85.466,84.953,83.481,84.926,85.252,86.071,84.68,84.882,85.57,86.765,86.896,85.31,85.236,83.63,81.796,83.036,83.629,85.058,85.588,82.236,82.496,85.66,84.915,86.386,86.461,82.333,82.479,84.122,85.727,86.507,84.986,83.669,85.15,86.08,84.828,84.727,85.438,81.786,81.569,83.605,84.049,84.438,83.525,82.65,84.648,83.547,83.81,84.232,84.088,82.331,81.811
"      Spices, Culinary Herbs & Seeds",100.6,101.332,99.608,100.321,100.168,100.407,99.738,100.622,100.62,101.015,99.415,99.4,99.391,99.298,98.658,98.887,98.356,97.866,96.061,96.962,97.027,97.376,96.552,95.896,96.009,94.962,93.589,93.829,93.684,93.436,92.305,91.519,90.914,90.785,90.117,89.873,89.881,90.005,90.318,90.123,89.737,90.547,90.579,90.136,90.051,89.327,89.412,89.393,89.423,88.162,88.365,88.433,88.015,89.909,89.202,89.345,88.927,89.13,89.595,89.524,89.351,88.324,88.343,88.235,87.279,87.759,88.124,88.207,87.854,88.48,88.289,88.042,87.212,87.567,89.233,89.255,87.989,87.772,88.565,87.762,87.579,88.371,88.115,88.334,87.347,87.711,88.752,87.847,87.112,86.151,86.26,85.717,85.441,85.334,85.317,85.904,84.495,84.105
"      Food Hampers, Incl Fruits",95.799,95.799,97.184,98.943,98.943,98.943,98.943,99.444,99.444,99.444,99.444,103.089,103.089,103.089,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Food Products Nec,97.948,97.014,98.014,98.971,98.442,100.36,99.972,102.185,101.816,100.511,99.471,100.481,99.503,100.273,100.443,100.162,100.848,98.192,98.25,99.402,99.559,99.556,96.228,97.477,96.535,97.49,95.863,97.221,96.215,95.623,95.688,95.619,95.376,94.585,94.694,94.489,93.707,92.717,93.421,93.76,93.69,93.389,92.888,92.558,92.335,92.37,92.812,92.055,91.901,91.67,92.39,92.592,93.118,93.234,93.068,93.42,93.752,93.172,94.573,94.551,93.097,91.98,93.114,93.931,93.422,91.714,92.449,93.388,91.975,92.492,93.232,93.828,93.124,93.118,92.304,92.912,92.42,92.734,92.212,91.677,90.388,90.284,91.002,91.255,89.194,89.807,89.975,90.148,90.486,89.811,89.86,90.106,89.054,89.465,90.12,90.719,89.311,88.903
    Non-Alcoholic Beverages,100.778,99.183,101.158,101.37,100.673,100.972,100.439,99.88,100.543,100.535,98.395,99.577,98.288,98.171,99.372,99.679,99.448,98.501,98.19,97.801,97.812,97.12,95.665,95.142,95.05,93.782,95.254,94.698,93.738,93.105,91.664,91.642,91.532,90.706,90.917,90.259,89.244,88.833,88.638,88.515,88.889,88.878,88.56,88.663,87.783,87.413,87.788,87.022,86.696,87.057,87.797,87.442,87.522,87.553,87.755,88.024,88.86,86.897,86.499,84.404,84.589,81.451,83.905,84.355,84.766,84.854,83.311,84.217,83.077,82.748,83.944,83.618,81.833,82.398,82.655,82.41,83.102,82.98,83.107,82.617,81.287,81.92,82.805,83.057,80.813,81.051,82.252,82.645,82.296,81.16,81.159,81.339,80.148,80.872,81.16,82.053,80.744,80.64
      Fruit & Vegetable Juices,100.455,101.092,101.759,101.28,100.083,101.724,101.798,102.013,100.849,99.736,97.102,98.405,97.723,97.528,98.117,100.035,98.543,97.445,96.712,96.433,95.552,93.082,93.179,92.261,93.247,90.011,93.699,94.767,91.699,90.066,87.108,87.642,87.289,86.644,87.278,88.293,87.229,86.911,85.813,85.701,88.054,87.972,88.809,88.917,87.154,86.513,87.938,84.636,85.722,86.579,87.151,87.079,87.338,87.445,88.074,87.977,88.702,85.958,81.983,81.201,80.593,79.884,81.84,81.774,81.515,79.975,82.203,80.864,80.678,80.498,80.535,80.564,79.222,80.278,79.642,80.988,81.854,81.528,81.592,80.385,79.976,80.904,80.629,80.763,77.74,78.35,79.518,80.268,79.307,79.751,79.603,78.166,77.605,78.122,78.754,78.614,76.999,76.888
      Coffee & Coffee Substitutes,102.964,99.431,101.425,101.799,101.342,101.06,100.528,98.344,99.334,99.784,99.066,100.11,98.765,98.443,99.103,98.772,97.303,97.324,97.034,96.915,97.017,96.949,96.47,96.074,95.036,94.398,95.048,93.841,93.407,93.044,92.312,92.075,92.422,92.251,92.143,91.927,91.487,91.02,91.259,90.679,91.042,90.246,88.768,89.282,89.334,89.068,88.563,88.494,88.591,88.649,89.072,88.592,88.508,88.137,88.129,87.258,89.131,86.611,87.064,84.972,87.014,84.291,85.011,85.803,86.313,88.666,84.993,87.24,87.191,86.264,87.497,86.176,87.364,87.038,86.775,87.516,87.519,87.618,88.132,86.833,84.819,84.662,84.326,84.215,83.355,83.486,83.825,84.25,84.206,82.911,82.63,83.746,84.96,84.261,84.224,83.829,84.133,83.774
      Tea,98.893,96.889,100.657,101.894,101.099,100.495,98.957,100.025,100.921,100.616,99.064,99.549,98.011,98.713,98.738,99.474,99.334,97.113,97.023,96.293,97.405,97.51,94.886,94.172,94.698,93.493,95.746,95.769,94.439,93.299,92.398,92.246,91.74,91.286,91.567,90.468,89.538,88.808,89.679,89.902,89.767,90.276,90.221,89.902,88.77,89.281,88.436,87.662,86.288,86.733,88.422,87.525,87.52,87.696,88.567,89.257,90.126,88.314,88.321,86.33,85.875,80.027,85.474,85.99,86.573,87.03,84.38,85.991,85.595,84.06,85.934,84.28,80.646,82.344,84.251,83.538,83.279,83.97,83.997,84.848,83.917,83.223,83.405,84.011,82.084,82.126,82.61,82.552,83.177,80.865,81.496,82.959,82.079,82.559,82.783,85.681,82.998,83.454
      Cocoa & Malt-Based Drinks,101.155,99.201,102,101.252,102.218,102.088,101.659,99.082,98.796,99.552,99.077,98.668,97.329,98.28,100.055,100.258,99.891,99.496,98.529,98.555,98.368,97.027,94.96,91.635,90.231,90.193,90.125,89.603,89.416,89.128,89.239,89.314,88.962,88.802,89.215,84.695,82.097,81.478,81.994,82.222,82.476,82.236,82.185,82.397,82.689,82.48,82.979,82.537,82.459,82.628,82.81,82.896,82.563,82.815,81.532,83.524,83.368,83.306,82.771,81.951,80.969,79.978,81.32,81.064,81.332,80.811,80.102,81.079,81.582,81.414,81.957,82.442,82.438,82.389,80.288,81.49,81.853,81.809,80.006,80.254,80.502,80.72,79.623,81.446,80.747,80.864,82.357,81.923,80.47,80.79,79.746,80.895,81.623,80.823,81.111,81.245,78.841,79.117
      Water,101.078,101.674,98.706,98.688,97.145,96.083,97.171,98.164,104.599,103.399,101.22,101.603,102.872,100.349,103.48,104.407,103.997,104.46,104.878,103.702,103.456,101.99,103.392,103.422,103.385,101.525,100.938,100.149,97.462,97.026,96.425,96.627,96.214,96.017,95.33,95.7,95.914,95.526,95.32,95.085,95.459,96.091,97.166,97.546,95.281,95.065,94.86,94.35,95.291,95.536,96.071,95.628,95.453,95.292,95.881,96.173,96.458,95.823,95.696,81.343,83.399,83.147,85.646,82.806,83.015,84.482,82.14,81.56,81.072,81.159,79.868,81.556,78.96,79.089,80.996,78.724,79.417,80.653,81.893,79.554,82.348,80.074,82.796,83.429,82.899,80.26,80.45,80.574,79.162,79.585,80.451,80.441,80.433,81.433,80.308,79.943,81.729,82.528
      Soft Drinks,100.708,100.269,99.734,102.085,102.053,101.758,100.805,99.971,101.085,102.272,95.991,99.631,97.674,96.94,98.996,98.068,101.455,100.545,100.439,99.272,98.703,97.883,94.859,96.599,97.234,96.364,96.517,95.821,96.374,96.517,92.175,92.081,92.165,88.455,88.776,90.292,89.089,89.253,88.366,88.262,87.784,87.576,86.809,86.746,85.053,81.817,85.184,85.283,84.933,85.171,85.516,85.805,85.683,86.005,86.235,86.471,86.391,83.122,84.926,84.982,85.124,80.182,82.128,83.334,84.176,81.336,81.098,81.102,74.622,76.991,82.145,83.055,78.117,77.667,79.278,76.199,77.916,77.482,77.611,77.269,73.384,76.867,81.991,81.288,76.37,77.431,79.846,81.314,81.44,78.777,78.881,77.39,71.305,74.94,75.713,77.871,76.881,76.185
      Non-Alcoholic Beverages Nec,98.967,98.088,102.784,99.986,97.63,100.907,101.146,102.108,101.414,100.415,98.348,99.476,97.921,97.866,103.854,103.642,103.295,100.387,100.661,103.341,101.457,101.742,99.568,102.591,102.92,98.5,106.834,100.568,100.545,100.919,100.566,100.409,101.585,100.293,100.907,98.285,97.665,98.239,89.651,88.992,89.214,92.514,92.898,92.789,91.084,95.64,95.788,94.822,90.096,91.695,92.573,91.827,96.32,96.221,96.526,96.925,98.805,98.819,94.223,91.717,87.313,85.712,87.284,92.204,92.401,91.218,91.606,91.883,86.786,87.171,77.209,81.846,76.247,80.737,82.025,82.181,86.144,82.153,85.962,85.176,83.723,84.763,85.67,85.272,83.1,82.91,86.195,85.357,84.256,83.282,84.373,84.987,82.116,83.67,83.728,84.246,81.813,80.964
  Clothing & Footwear,100.987,99.579,98.084,95.375,98.01,99.308,98.318,100.63,98.719,103.435,103.687,100.66,101.89,101.884,98.665,98.298,99.324,98.921,100.763,100.038,101,102.936,103.238,101.572,101.434,100.718,99.279,98.499,99.234,100.463,101.141,99.5,97.504,99.271,98.069,95.804,95.047,94.521,93.906,92.502,96.389,95.148,93.356,93.51,92.398,96.692,96.978,98.692,97.362,98.458,99.662,98.557,99.239,99.673,99.023,98.501,100.889,100.526,101.63,103.44,103.515,102.829,103.462,104.201,103.248,104.011,101.995,102.364,103.885,104.916,104.841,106.214,106.3,106.677,105.28,105.349,105.188,105.088,105.626,105.353,104.616,105.606,105.978,105.545,104.565,103.544,102.582,104.47,103.906,103.217,102.742,103.027,103.1,104.971,105.098,104.31,103.84,102.52
    Clothing,101.087,99.901,98.389,95.891,98.794,99.633,98.041,99.329,98.11,103.361,104.302,101.169,101.578,101.402,99.12,98.398,99.113,98.814,100.805,99.647,100.015,102.43,103.28,101.958,100.952,100.803,100.359,98.877,99.882,101.24,101.484,100.246,99.107,100.551,99.559,97.115,96.021,95.093,95.409,94.281,97.43,95.86,93.98,93.94,93.094,97.17,97.871,98.802,97.301,99.072,100.477,99.35,100.423,100.847,100.217,100.038,101.335,100.275,102.002,104.773,103.798,102.671,103.772,104.392,104.265,105.253,102.251,102.746,104.454,105.457,104.962,106.852,106.414,107.59,106.181,106.056,105.754,106.045,106.496,106.42,105.688,106.744,106.634,106.435,105.437,104.585,103.388,105.477,105.369,104.863,103.605,104.205,104.772,106.316,106.075,105.54,105.127,103.957
      Garments,101.038,100.063,98.417,95.815,98.847,99.849,97.959,99.239,97.744,103.342,104.415,101.09,101.655,101.627,99.029,98.309,99.065,98.837,100.887,99.881,100.398,102.807,103.664,102.201,101.334,101.205,100.904,99.322,100.359,101.941,102.592,101.119,99.927,101.459,100.384,97.81,96.667,95.674,96.111,94.9,98.143,96.491,94.602,94.562,93.887,98.049,98.638,99.639,97.976,99.863,101.344,100.095,101.254,101.766,101.008,101.034,102.302,101.151,102.882,105.913,104.956,103.762,104.981,105.488,105.351,106.506,103.288,103.877,105.626,106.581,106.01,108.158,107.579,108.886,107.342,107.24,106.874,107.269,107.754,107.68,106.97,107.942,107.97,107.594,106.626,105.856,104.582,106.648,106.529,105.976,104.678,105.373,106.021,107.502,107.229,106.765,106.542,105.163
      Other Articles Of Clothing & Clothing Accessories,105.801,97.052,95.826,93.953,95.856,92.597,98.526,101.325,107.398,107.398,105.272,104.815,100.932,96.104,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Cleaning, Repair, Tailoring & Rental Of Clothing",97.842,97.842,100.12,100.12,100.12,100.12,100.048,100.048,99.904,99.904,99.904,99.904,99.904,99.904,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Footwear,100.627,98.424,96.989,93.526,95.201,98.145,99.31,105.29,100.903,103.702,101.481,98.836,103.006,103.612,97.186,97.974,100.011,99.268,100.63,101.306,104.202,104.576,103.104,100.318,103.001,100.442,95.773,97.27,97.131,97.937,100.027,97.075,92.296,95.115,93.228,91.545,91.885,92.667,89.019,86.722,93.007,92.834,91.327,92.115,90.134,95.136,94.079,98.337,97.56,96.465,97.011,95.977,95.388,95.86,95.144,93.507,99.438,101.34,100.422,99.107,102.593,103.344,102.459,103.581,99.941,99.978,101.163,101.12,102.032,103.158,104.449,104.138,105.929,103.709,102.284,103.016,103.337,101.905,102.738,101.791,101.041,101.801,103.821,102.592,101.668,100.069,99.914,101.11,98.986,97.674,99.875,99.087,97.466,100.454,101.846,100.189,99.52,97.687
  Housing & Utilities,101.207,98.461,101.316,101.254,99.66,101.198,101.142,99.457,100.542,100.427,98.095,99.999,99.821,97.086,98.964,98.747,97.103,98.129,97.869,96.146,96.991,96.749,94.308,96.368,96.002,94.645,95.341,95.114,93.495,94.635,94.293,92.54,93.019,92.666,90.224,91.568,91.213,89.834,90.374,90.048,88.307,89.133,88.987,87.394,88.405,88.225,85.948,87.68,87.578,86.326,87.423,87.371,85.947,87.126,87.109,85.728,87.668,87.677,85.561,87.872,87.837,86.578,87.638,87.6,86.217,87.761,87.764,86.404,87.532,87.568,85.506,87.944,88.054,86.921,88.638,88.778,87.37,88.888,88.995,87.531,88.287,88.252,86.115,88.427,88.622,87.479,88.532,88.757,87.503,89.328,89.566,88.373,89.941,90.028,88.144,90.248,90.545,90.743
    Accommodation,101.517,98.477,101.479,101.408,99.641,101.219,101.158,99.294,100.542,100.42,97.85,100.116,99.942,96.929,99.366,99.121,97.257,98.606,98.33,96.371,97.382,97.1,94.39,96.492,96.144,94.628,95.411,95.175,93.366,94.567,94.19,92.18,93.176,92.781,90.025,92.034,91.69,90.098,91.107,90.775,88.965,90.11,89.953,88.137,89.429,89.218,86.636,88.901,88.778,87.359,88.482,88.411,86.81,88.469,88.445,86.879,88.466,88.467,86.032,88.415,88.356,86.932,88.241,88.182,86.595,88.128,88.094,86.501,88.027,88.008,85.583,88.013,88.017,86.679,88.334,88.429,86.671,88.624,88.754,87.067,89.07,89.028,86.533,89.462,89.687,88.377,90.072,90.335,88.867,90.874,91.16,89.761,91.849,91.951,89.748,92.643,92.998,93.287
      Actual Rentals For Housing,100.687,100.702,100.73,100.702,100.672,100.625,100.591,99.868,99.737,99.654,99.563,99.43,99.279,99.148,98.818,98.575,98.37,98.1,97.828,97.418,97.004,96.719,96.447,96.151,95.823,95.671,95.204,94.993,94.734,94.4,94.028,93.492,93.006,92.63,92.317,91.92,91.597,91.39,91.06,90.764,90.551,90.264,90.139,89.939,89.733,89.573,89.468,89.373,89.295,89.267,87.857,87.837,87.864,89.192,89.205,89.229,89.272,89.294,89.294,89.249,89.183,89.129,89.054,89.005,88.975,88.937,88.913,88.837,88.811,88.796,88.796,88.804,88.816,88.837,89.028,89.106,89.182,89.285,89.4,89.521,89.675,89.845,90.022,90.221,90.426,90.6,90.825,91.065,91.302,91.559,91.826,92.126,92.463,92.762,93.067,93.386,93.706,93.972
      Imputed Rentals For Housing,100.642,100.625,100.614,100.55,100.474,100.367,100.287,100.177,99.982,99.85,99.715,99.515,99.322,99.145,98.764,98.504,98.28,97.987,97.692,97.357,96.88,96.566,96.246,95.913,95.531,95.359,94.818,94.576,94.292,93.912,93.491,92.999,92.464,92.021,91.647,91.186,90.8,90.541,90.157,89.782,89.493,89.117,88.94,88.678,88.382,88.146,87.963,87.781,87.638,87.569,87.452,87.365,87.307,87.262,87.23,87.216,87.226,87.225,87.211,87.169,87.103,87.032,86.982,86.931,86.894,86.87,86.843,86.82,86.789,86.768,86.768,86.777,86.781,86.807,87.025,87.133,87.23,87.363,87.51,87.685,87.884,88.111,88.341,88.609,88.866,89.082,89.362,89.669,89.974,90.29,90.614,90.998,91.396,91.768,92.153,92.552,92.952,93.277
      Housing Maintenance & Repairs,110.957,75.052,110.718,110.524,90.337,110.129,110.212,90.116,106.942,106.868,77.805,106.757,106.725,72.866,105.001,104.882,87.495,104.338,104.218,86.996,101.997,101.987,76.643,101.72,101.628,87.389,100.612,100.389,84.145,100.242,100.234,83.91,99.331,99.318,73.989,99.273,99.254,85.012,99.121,99.121,82.849,98.274,98.263,81.682,97.886,97.838,72.492,97.785,97.785,83.559,97.791,97.791,81.524,97.826,97.826,81.554,98.004,98.004,72.674,97.972,97.977,83.749,97.934,97.797,81.551,97.816,97.718,81.342,97.573,97.573,72.225,97.539,97.532,83.304,98.706,98.699,79.023,98.614,98.611,78.963,98.46,95.871,67.081,95.807,95.764,79.743,95.173,95.079,76.534,94.949,94.916,76.368,94.841,92.41,65.267,92.36,92.36,92.36
    Utilities & Other Fuels,98.283,98.313,99.78,99.807,99.837,101,100.993,100.996,100.541,100.498,100.406,98.894,98.686,98.561,95.964,95.958,95.953,94.565,94.426,94.471,94.073,94.133,93.695,95.444,94.932,94.774,94.82,94.661,94.46,95.15,95.057,95.227,91.843,91.809,91.71,88.089,87.651,87.857,84.898,84.623,83.397,81.836,81.77,81.848,80.762,80.807,80.809,78.563,78.619,78.619,79.514,79.607,79.5,77.104,77.137,77.135,81.709,81.778,82.048,83.822,83.961,83.931,83.134,83.256,83.396,85.018,85.299,85.676,83.839,84.282,84.924,87.423,88.329,88.721,89.977,90.381,91.022,89.991,89.965,89.81,83.29,83.29,83.251,81.955,81.981,81.818,79.115,79.115,79.115,79.874,79.829,79.845,78.373,78.373,78.354,75.84,75.802,75.463
      Water Supply,101.661,101.661,101.661,101.661,101.661,101.661,101.661,101.661,101.661,101.661,101.661,95.018,95.018,95.018,94.102,94.102,94.102,94.102,94.102,94.102,94.102,94.102,94.102,94.102,94.102,94.102,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,93.149,81.208,81.208,81.208,81.208,81.208,81.208,81.208,81.208,81.208,81.208,81.208,81.208,70.555,70.555,70.555,70.555,70.555,70.555
      Refuse Collection,101.954,101.954,101.954,101.954,101.954,101.954,101.954,101.954,98.046,98.046,98.046,98.046,98.046,98.046,97.146,97.146,97.146,97.146,97.146,97.146,97.146,97.146,97.146,97.146,97.146,97.146,96.245,96.245,96.245,96.245,96.245,96.245,96.245,96.245,96.245,96.245,96.245,96.245,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452,82.452
      Electricity,96.591,96.635,98.869,98.912,98.959,100.65,100.64,100.643,100.434,100.366,100.221,100.28,100.065,99.958,96.82,96.81,96.814,94.66,94.393,94.294,93.707,93.81,93.046,96.006,95.203,94.923,95.239,94.962,94.613,95.456,95.296,95.388,90.042,89.982,89.812,83.958,83.4,83.762,80.524,80.048,77.923,75.467,75.353,75.488,73.782,73.86,73.903,70.374,70.477,70.548,72.158,72.321,72.335,68.536,68.593,68.668,76.274,76.434,76.7,79.721,79.963,80.133,78.534,78.747,78.989,81.314,81.801,82.454,79.401,80.169,81.282,85.301,86.872,87.551,89.762,90.473,91.77,89.957,89.957,89.957,84.235,84.235,84.235,81.996,81.996,81.996,77.198,77.198,77.198,78.797,78.797,78.797,81.356,81.356,81.356,76.807,76.807,76.807
      Gas,99.014,99.043,99.775,99.765,99.768,101.095,101.093,101.099,100.022,100.024,100.023,100.105,99.041,98.189,95.279,95.283,95.205,93.769,93.921,94.928,94.35,94.347,94.371,94.781,94.302,94.334,96.013,96.014,96.015,98.039,98.04,99.199,96.225,96.223,96.223,93.805,92.66,92.616,89.684,89.685,89.684,88.254,88.255,88.251,87.243,87.243,87.017,84.932,84.896,84.488,84.149,84.146,82.995,80.971,80.97,80.525,82.363,82.128,83.279,83.584,83.584,82.311,83.555,83.555,83.555,86.344,86.344,86.344,85.594,85.594,85.594,87.376,87.376,87.376,87.878,87.878,86.894,86.894,86.628,85.056,85.056,85.056,84.671,84.435,84.703,83.049,83.299,83.299,83.299,81.781,81.32,81.484,81.358,81.358,81.16,81.905,81.511,78.078
